"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Abalistes stellatus",0.075,"BAR",0,15,"BAR_BAY","indval","pres/abs"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Atule mate",0.6,"BAY",1,30,"BAR_BAY","indval","pres/abs"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Chaetodon kleinii",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Coris dorsomacula",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Diagramma pictum",0.05,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Echeneis naucrates",0.156,"BAY",0,20,"BAR_BAY","indval","pres/abs"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Halichoeres trimaculatus",0.803,"BAR",1,45,"BAR_BAY","indval","pres/abs"
"Lagocephalus sceleratus",0.245,"BAY",0,25,"BAR_BAY","indval","pres/abs"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAR_BAY","indval","pres/abs"
"Lethrinus genivittatus",0.423,"BAY",0,50,"BAR_BAY","indval","pres/abs"
"Lethrinus obsoletus",0.65,"BAY",1,32.5,"BAR_BAY","indval","pres/abs"
"Lethrinus rubrioperculatus",0.8,"BAR",1,40,"BAR_BAY","indval","pres/abs"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Lutjanus vitta",0.09,"BAY",0,12.5,"BAR_BAY","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_BAY","indval","pres/abs"
"Nemipterus peronii",0.85,"BAY",1,42.5,"BAR_BAY","indval","pres/abs"
"Oxycheilinus bimaculatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Parapercis australis",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","pres/abs"
"Parupeneus heptacanthus",0.09,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_BAY","indval","pres/abs"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_BAY","indval","pres/abs"
"Pentapodus nagasakiensis",0.75,"BAR",1,37.5,"BAR_BAY","indval","pres/abs"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_BAY","indval","pres/abs"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_BAY","indval","pres/abs"
"Scarus ghobban",0.25,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_BAY","indval","pres/abs"
"Scomberomorus commerson",0.09,"BAR",0,12.5,"BAR_BAY","indval","pres/abs"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_BAY","indval","pres/abs"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_BAY","indval","pres/abs"
"Synodus variegatus",0.3,"BAY",1,15,"BAR_BAY","indval","pres/abs"
"Thalassoma lunare",0.703,"BAR",1,40,"BAR_BAY","indval","pres/abs"
"Upeneus sundaicus",0.179,"BAR",0,17.5,"BAR_BAY","indval","pres/abs"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAR_LAG","indval","pres/abs"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Arothron stellatus",0.2,"LAG",0,10,"BAR_LAG","indval","pres/abs"
"Atule mate",0.25,"LAG",1,12.5,"BAR_LAG","indval","pres/abs"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Coris dorsomacula",0.208,"BAR",0,15,"BAR_LAG","indval","pres/abs"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Decapterus macarellus",0.25,"LAG",1,12.5,"BAR_LAG","indval","pres/abs"
"Echeneis naucrates",0.075,"BAR",0,15,"BAR_LAG","indval","pres/abs"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Halichoeres trimaculatus",0.85,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Lagocephalus sceleratus",0.2,"LAG",0,22.5,"BAR_LAG","indval","pres/abs"
"Lethrinus genivittatus",0.602,"LAG",1,60,"BAR_LAG","indval","pres/abs"
"Lethrinus obsoletus",0.2,"LAG",0,10,"BAR_LAG","indval","pres/abs"
"Lethrinus rubrioperculatus",0.753,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_LAG","indval","pres/abs"
"Nemipterus peronii",0.9,"LAG",1,45,"BAR_LAG","indval","pres/abs"
"Oxycheilinus bimaculatus",0.703,"BAR",1,40,"BAR_LAG","indval","pres/abs"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Parapercis australis",0.7,"BAR",1,35,"BAR_LAG","indval","pres/abs"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","pres/abs"
"Parupeneus heptacanthus",0.114,"LAG",0,17.5,"BAR_LAG","indval","pres/abs"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_LAG","indval","pres/abs"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_LAG","indval","pres/abs"
"Pentapodus nagasakiensis",0.417,"BAR",0,67.5,"BAR_LAG","indval","pres/abs"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_LAG","indval","pres/abs"
"Pristotis obtusirostris",0.09,"BAR",0,12.5,"BAR_LAG","indval","pres/abs"
"Pseudalutarius nasicornis",0.405,"LAG",1,25,"BAR_LAG","indval","pres/abs"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_LAG","indval","pres/abs"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_LAG","indval","pres/abs"
"Scomberomorus commerson",0.2,"LAG",0,22.5,"BAR_LAG","indval","pres/abs"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_LAG","indval","pres/abs"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_LAG","indval","pres/abs"
"Synodus variegatus",0.4,"LAG",1,20,"BAR_LAG","indval","pres/abs"
"Thalassoma lunare",0.75,"BAR",1,37.5,"BAR_LAG","indval","pres/abs"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAR_LAG","indval","pres/abs"
"Upeneus sundaicus",0.125,"BAR",0,25,"BAR_LAG","indval","pres/abs"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAY_LAG","indval","pres/abs"
"Arothron stellatus",0.2,"LAG",0,10,"BAY_LAG","indval","pres/abs"
"Atule mate",0.424,"BAY",0,42.5,"BAY_LAG","indval","pres/abs"
"Decapterus macarellus",0.156,"LAG",0,20,"BAY_LAG","indval","pres/abs"
"Echeneis naucrates",0.156,"BAY",0,20,"BAY_LAG","indval","pres/abs"
"Lagocephalus sceleratus",0.188,"BAY",0,32.5,"BAY_LAG","indval","pres/abs"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAY_LAG","indval","pres/abs"
"Lethrinus genivittatus",0.482,"LAG",0,75,"BAY_LAG","indval","pres/abs"
"Lethrinus obsoletus",0.497,"BAY",1,42.5,"BAY_LAG","indval","pres/abs"
"Nemipterus peronii",0.463,"LAG",0,87.5,"BAY_LAG","indval","pres/abs"
"Parupeneus heptacanthus",0.133,"LAG",0,15,"BAY_LAG","indval","pres/abs"
"Pentapodus nagasakiensis",0.6,"LAG",1,30,"BAY_LAG","indval","pres/abs"
"Pseudalutarius nasicornis",0.45,"LAG",1,22.5,"BAY_LAG","indval","pres/abs"
"Pseudocaranx dentex",0.112,"LAG",0,10,"BAY_LAG","indval","pres/abs"
"Scomberomorus commerson",0.225,"LAG",0,20,"BAY_LAG","indval","pres/abs"
"Synodus variegatus",0.229,"LAG",0,35,"BAY_LAG","indval","pres/abs"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAY_LAG","indval","pres/abs"
"Upeneus sundaicus",0.179,"LAG",0,17.5,"BAY_LAG","indval","pres/abs"
"Upeneus tragula",0.09,"LAG",0,12.5,"BAY_LAG","indval","pres/abs"
"Abalistes stellatus",0.094,"INSHORE",0,16.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Amblygobius phalaena",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Atule mate",0.425,"INSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Chaetodon auriga",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Coris dorsomacula",0.227,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Dascyllus aruanus",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Decapterus macarellus",0.2,"INSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Echeneis naucrates",0.114,"INSHORE",0,18.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Halichoeres trimaculatus",0.826,"OFFSHORE",1,30,"INSHORE_OFFSHORE","indval","pres/abs"
"Lagocephalus sceleratus",0.222,"INSHORE",0,26.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Lethrinus genivittatus",0.511,"INSHORE",1,61.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Lethrinus obsoletus",0.425,"INSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Lethrinus rubrioperculatus",0.776,"OFFSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Lethrinus variegatus",0.75,"OFFSHORE",1,25,"INSHORE_OFFSHORE","indval","pres/abs"
"Mulloidichthys flavolineatus",0.4,"OFFSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Nemipterus peronii",0.875,"INSHORE",1,58.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Oxycheilinus bimaculatus",0.726,"OFFSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Parapercis australis",0.7,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Parupeneus barberinoides",0.7,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Parupeneus heptacanthus",0.075,"INSHORE",0,15,"INSHORE_OFFSHORE","indval","pres/abs"
"Parupeneus multifasciatus",0.5,"OFFSHORE",1,16.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Parupeneus pleurostigma",0.85,"OFFSHORE",1,28.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Pentapodus nagasakiensis",0.536,"OFFSHORE",1,45,"INSHORE_OFFSHORE","indval","pres/abs"
"Pomacentrus coelestis",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Pseudalutarius nasicornis",0.184,"INSHORE",0,16.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Pseudobalistes fuscus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Scarus psittacus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Scomberomorus commerson",0.114,"INSHORE",0,18.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Stethojulis interrupta",0.4,"OFFSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Sufflamen chrysopterum",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Synodus variegatus",0.35,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","pres/abs"
"Thalassoma lunare",0.726,"OFFSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","indval","pres/abs"
"Upeneus moluccensis",0.15,"INSHORE",0,10,"INSHORE_OFFSHORE","indval","pres/abs"
"Upeneus sundaicus",0.147,"OFFSHORE",0,20,"INSHORE_OFFSHORE","indval","pres/abs"
"Abalistes stellatus",0.075,"BAR",0,15,"BAR_BAY","indval","maxN"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_BAY","indval","maxN"
"Atule mate",0.6,"BAY",1,30,"BAR_BAY","indval","maxN"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_BAY","indval","maxN"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_BAY","indval","maxN"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Coris dorsomacula",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_BAY","indval","maxN"
"Diagramma pictum",0.05,"BAR",0,10,"BAR_BAY","indval","maxN"
"Echeneis naucrates",0.156,"BAY",0,20,"BAR_BAY","indval","maxN"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_BAY","indval","maxN"
"Halichoeres trimaculatus",0.835,"BAR",1,45,"BAR_BAY","indval","maxN"
"Lagocephalus sceleratus",0.292,"BAY",0,25,"BAR_BAY","indval","maxN"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAR_BAY","indval","maxN"
"Lethrinus genivittatus",0.296,"BAY",0,50,"BAR_BAY","indval","maxN"
"Lethrinus obsoletus",0.65,"BAY",1,32.5,"BAR_BAY","indval","maxN"
"Lethrinus rubrioperculatus",0.8,"BAR",1,40,"BAR_BAY","indval","maxN"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","maxN"
"Lutjanus vitta",0.103,"BAY",0,12.5,"BAR_BAY","indval","maxN"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_BAY","indval","maxN"
"Nemipterus peronii",0.85,"BAY",1,42.5,"BAR_BAY","indval","maxN"
"Oxycheilinus bimaculatus",0.75,"BAR",1,37.5,"BAR_BAY","indval","maxN"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Parapercis australis",0.7,"BAR",1,35,"BAR_BAY","indval","maxN"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_BAY","indval","maxN"
"Parupeneus heptacanthus",0.088,"BAR",0,12.5,"BAR_BAY","indval","maxN"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_BAY","indval","maxN"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_BAY","indval","maxN"
"Pentapodus nagasakiensis",0.75,"BAR",1,37.5,"BAR_BAY","indval","maxN"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_BAY","indval","maxN"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_BAY","indval","maxN"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_BAY","indval","maxN"
"Pseudobalistes fuscus",0.3,"BAR",1,15,"BAR_BAY","indval","maxN"
"Ptereleotris microlepis",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Scarus ghobban",0.25,"BAR",1,12.5,"BAR_BAY","indval","maxN"
"Scarus psittacus",0.3,"BAR",1,15,"BAR_BAY","indval","maxN"
"Scomberomorus commerson",0.09,"BAR",0,12.5,"BAR_BAY","indval","maxN"
"Stethojulis interrupta",0.4,"BAR",1,20,"BAR_BAY","indval","maxN"
"Sufflamen chrysopterum",0.35,"BAR",1,17.5,"BAR_BAY","indval","maxN"
"Synodus variegatus",0.3,"BAY",1,15,"BAR_BAY","indval","maxN"
"Thalassoma lunare",0.734,"BAR",1,40,"BAR_BAY","indval","maxN"
"Upeneus sundaicus",0.239,"BAR",0,17.5,"BAR_BAY","indval","maxN"
"Abalistes stellatus",0.114,"LAG",0,17.5,"BAR_LAG","indval","maxN"
"Amblygobius phalaena",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Arothron stellatus",0.2,"LAG",0,10,"BAR_LAG","indval","maxN"
"Atule mate",0.25,"LAG",1,12.5,"BAR_LAG","indval","maxN"
"Centropyge tibicen",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Chaetodon auriga",0.3,"BAR",1,15,"BAR_LAG","indval","maxN"
"Chaetodon kleinii",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Chromis viridis",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Coris dorsomacula",0.208,"BAR",0,15,"BAR_LAG","indval","maxN"
"Dascyllus aruanus",0.35,"BAR",1,17.5,"BAR_LAG","indval","maxN"
"Decapterus macarellus",0.25,"LAG",1,12.5,"BAR_LAG","indval","maxN"
"Echeneis naucrates",0.086,"LAG",0,15,"BAR_LAG","indval","maxN"
"Gymnocranius grandoculis",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Halichoeres trimaculatus",0.85,"BAR",1,42.5,"BAR_LAG","indval","maxN"
"Lagocephalus sceleratus",0.232,"LAG",0,22.5,"BAR_LAG","indval","maxN"
"Lethrinus genivittatus",0.671,"LAG",1,60,"BAR_LAG","indval","maxN"
"Lethrinus obsoletus",0.2,"LAG",0,10,"BAR_LAG","indval","maxN"
"Lethrinus rubrioperculatus",0.787,"BAR",1,42.5,"BAR_LAG","indval","maxN"
"Lethrinus variegatus",0.75,"BAR",1,37.5,"BAR_LAG","indval","maxN"
"Mulloidichthys flavolineatus",0.4,"BAR",1,20,"BAR_LAG","indval","maxN"
"Nemipterus peronii",0.9,"LAG",1,45,"BAR_LAG","indval","maxN"
"Oxycheilinus bimaculatus",0.73,"BAR",1,40,"BAR_LAG","indval","maxN"
"Oxycheilinus nigromarginatus",0.25,"BAR",1,12.5,"BAR_LAG","indval","maxN"
"Parapercis australis",0.7,"BAR",1,35,"BAR_LAG","indval","maxN"
"Parupeneus barberinoides",0.7,"BAR",1,35,"BAR_LAG","indval","maxN"
"Parupeneus heptacanthus",0.118,"LAG",0,17.5,"BAR_LAG","indval","maxN"
"Parupeneus multifasciatus",0.5,"BAR",1,25,"BAR_LAG","indval","maxN"
"Parupeneus pleurostigma",0.85,"BAR",1,42.5,"BAR_LAG","indval","maxN"
"Pentapodus nagasakiensis",0.479,"BAR",0,67.5,"BAR_LAG","indval","maxN"
"Plagiotremus tapeinosoma",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
"Pomacentrus coelestis",0.35,"BAR",1,17.5,"BAR_LAG","indval","maxN"
"Pomacentrus moluccensis",0.2,"BAR",0,10,"BAR_LAG","indval","maxN"
