"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","prev_rate","replica_comp"
"Lethrinus genivittatus",18.5,"BAY",1,55,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",21,"BAY",1,45,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Carangoides dinema",0,"BAY",1,5,"BAR_BAY","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",31.167,"BAR",1,45,"BAR_BAY","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Echeneis naucrates",-3,"BAY",1,35,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus obsoletus",15.5,"BAY",1,30,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",15.833,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Abalistes stellatus",0.75,"BAY",1,20,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Lutjanus vitta",8.062,"BAY",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",21.272,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Atule mate",9.542,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",9.961,"BAY",1,55,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",11,"BAY",1,45,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",-0.375,"BAR",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Atule mate",9.454,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",29.801,"BAY",1,45,"BAR_BAY","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",1.317,"BAY",1,20,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Atule mate",4.333,"BAY",1,20,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Epinephelus areolatus",7.549,"BAY",1,10,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus obsoletus",19.651,"BAY",1,30,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",15.416,"BAY",1,40,"BAR_BAY","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",1.066,"BAY",1,20,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Diagramma pictum",3.172,"BAR",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Lutjanus vitta",12.439,"BAY",1,10,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",21.746,"BAY",1,40,"BAR_BAY","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Chaetodon auriga",14.72,"BAR",1,30,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",28.508,"BAY",1,55,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",9.445,"BAR",1,30,"BAR_BAY","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",33.746,"BAY",1,55,"BAR_BAY","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Acanthurus nigricauda",0.24,"BAR",1,5,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Epinephelus areolatus",12.564,"BAY",1,10,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",31.032,"BAY",1,40,"BAR_BAY","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Acanthurus nigricauda",0,"BAR",1,5,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Epinephelus areolatus",13.371,"BAY",1,10,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",31.121,"BAY",1,40,"BAR_BAY","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Chaetodon auriga",13.801,"BAR",1,30,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",27.973,"BAY",1,55,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Chaetodon auriga",10.232,"BAR",1,30,"BAR_BAY","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",28.756,"BAY",1,55,"BAR_BAY","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Amblygobius phalaena",9.969,"BAR",1,25,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Epinephelus areolatus",6.679,"BAY",1,10,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",17.682,"BAY",1,40,"BAR_BAY","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",0.16,"BAY",1,20,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Lethrinus variegatus",29.199,"BAR",1,45,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",11.288,"BAR",1,35,"BAR_BAY","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Halichoeres trimaculatus",15,"BAR",1,45,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",15,"BAR",1,50,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",18.054,"LAG",1,55,"BAR_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",18.5,"LAG",1,40,"BAR_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Amblygobius sphynx",6.5,"LAG",1,10,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus genivittatus",2.3,"LAG",1,65,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",34.683,"LAG",1,50,"BAR_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Abalistes stellatus",0.036,"LAG",1,20,"BAR_LAG","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",46.455,"LAG",1,50,"BAR_LAG","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Arothron stellatus",0,"LAG",1,15,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",12.5,"LAG",1,55,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",15.5,"LAG",1,40,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",-1.25,"BAR",1,15,"BAR_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",18.09,"LAG",1,55,"BAR_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Nemipterus peronii",24.237,"LAG",1,40,"BAR_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",3.519,"LAG",1,20,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Amblygobius sphynx",6.6,"LAG",1,10,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus genivittatus",2.072,"LAG",1,65,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",33.48,"LAG",1,50,"BAR_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",0.125,"LAG",1,20,"BAR_LAG","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",42.861,"LAG",1,50,"BAR_LAG","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Chaetodon auriga",17.735,"BAR",1,30,"BAR_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",27.936,"LAG",1,55,"BAR_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",9.308,"BAR",1,30,"BAR_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",35.379,"LAG",1,55,"BAR_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Acanthurus nigricauda",1.833,"BAR",1,5,"BAR_LAG","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",43.945,"LAG",1,50,"BAR_LAG","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Acanthurus nigricauda",0,"BAR",1,5,"BAR_LAG","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",47.344,"LAG",1,50,"BAR_LAG","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Chaetodon auriga",18.538,"BAR",1,30,"BAR_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",28.117,"LAG",1,55,"BAR_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Chaetodon auriga",10.7,"BAR",1,30,"BAR_LAG","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",33.82,"LAG",1,55,"BAR_LAG","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Amblygobius phalaena",11.5,"BAR",1,25,"BAR_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",28.504,"LAG",1,50,"BAR_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Amblygobius phalaena",0.426,"BAR",1,25,"BAR_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",41.985,"LAG",1,50,"BAR_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Arothron stellatus",0,"LAG",1,15,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",19,"LAG",1,25,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Synodus variegatus",1.5,"LAG",1,60,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Abalistes stellatus",0,"LAG",1,5,"BAY_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",10.99,"LAG",1,100,"BAY_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",-0.043,"LAG",1,25,"BAY_LAG","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Amblygobius sphynx",7.5,"LAG",1,10,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",3.1,"LAG",1,90,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",23.15,"LAG",1,35,"BAY_LAG","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",22.9,"LAG",1,35,"BAY_LAG","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Pseudalutarius nasicornis",11.75,"LAG",1,20,"BAY_LAG","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Upeneus sundaicus",9.5,"LAG",1,25,"BAY_LAG","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Arothron stellatus",6.4,"LAG",1,15,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Carangoides dinema",-0.5,"LAG",1,15,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",14.712,"LAG",1,25,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",11.775,"LAG",1,25,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Synodus variegatus",0.633,"LAG",1,60,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Arothron stellatus",1,"LAG",1,15,"BAY_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Echeneis naucrates",5.5,"LAG",1,15,"BAY_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",6.536,"LAG",1,25,"BAY_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",8.248,"LAG",1,25,"BAY_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Scomberomorus commerson",-0.769,"LAG",1,20,"BAY_LAG","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Amblygobius sphynx",4.267,"LAG",1,10,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Nemipterus peronii",2.8,"LAG",1,90,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",20.524,"LAG",1,35,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Pseudalutarius nasicornis",18.474,"LAG",1,20,"BAY_LAG","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",16.506,"LAG",1,35,"BAY_LAG","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Pseudalutarius nasicornis",10.044,"LAG",1,20,"BAY_LAG","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Upeneus sundaicus",11.212,"LAG",1,25,"BAY_LAG","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",0,"LAG",1,5,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Aetobatus narinari",4,"LAG",1,5,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Caranx ignobilis",4,"LAG",1,5,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Leiognathus fasciatus",8.25,"BAY",1,20,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus obsoletus",3,"BAY",1,50,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Aetobatus narinari",4.172,"LAG",1,5,"BAY_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Atule mate",23.945,"BAY",1,55,"BAY_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lagocephalus sceleratus",7.167,"BAY",1,45,"BAY_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",6.375,"LAG",1,100,"BAY_LAG","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Amblygobius sphynx",10,"LAG",1,10,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Canthigaster bennetti",0,"BAY",1,5,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",10.358,"LAG",1,35,"BAY_LAG","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Abalistes stellatus",1.414,"BAY",1,30,"BAY_LAG","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Amblygobius sphynx",2,"LAG",1,10,"BAY_LAG","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",15.5,"LAG",1,35,"BAY_LAG","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Arothron stellatus",5.605,"LAG",1,15,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Leiognathus fasciatus",4.941,"BAY",1,20,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",12.685,"LAG",1,25,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",11.42,"LAG",1,25,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Leiognathus fasciatus",3.5,"BAY",1,20,"BAY_LAG","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Pentapodus nagasakiensis",6.583,"LAG",1,25,"BAY_LAG","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Pseudalutarius nasicornis",3.667,"LAG",1,25,"BAY_LAG","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",14.716,"BAY",1,30,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Epinephelus areolatus",3.63,"BAY",1,10,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus obsoletus",18.026,"BAY",1,35,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",20.26,"LAG",1,35,"BAY_LAG","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",2.773,"BAY",1,30,"BAY_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Amblygobius sphynx",2.913,"LAG",1,10,"BAY_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Pentapodus nagasakiensis",22.136,"LAG",1,35,"BAY_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Pseudalutarius nasicornis",14.28,"LAG",1,20,"BAY_LAG","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Atule mate",6.667,"INSHORE",1,36.6666666666667,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",17,"INSHORE",1,70,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_0","ABORE_vs_MBERE"
"Abalistes stellatus",-0.167,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Parupeneus pleurostigma",12.125,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",0.667,"OFFSHORE",1,53.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus rubrioperculatus",13.833,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Lethrinus variegatus",16.219,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_0","MBERE_vs_ABORE"
"Abalistes stellatus",-0.321,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Acanthurus xanthopterus",5.231,"OFFSHORE",1,3.33333333333333,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Lethrinus variegatus",34.644,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_0","MBERE_vs_ABORE"
"Acanthurus blochii",0.444,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Canthigaster valentini",0.853,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Halichoeres trimaculatus",10.201,"OFFSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Lethrinus rubrioperculatus",10.889,"OFFSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",0.876,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Acanthurus blochii",4.712,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Parupeneus pleurostigma",28.242,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","ABORE_vs_MBERE"
"Abalistes stellatus",-0.644,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus rubrioperculatus",8.749,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus variegatus",10.327,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",5.036,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Parupeneus multifasciatus",1.528,"OFFSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",-0.396,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Lethrinus variegatus",22.14,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",11.413,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_bininter","maxN","prev_10","MBERE_vs_ABORE"
"Acanthurus blochii",0,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Atule mate",7.11,"INSHORE",1,36.6666666666667,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Nemipterus peronii",8.737,"INSHORE",1,56.6666666666667,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","ABORE_vs_MBERE"
"Chaetodon auriga",6.892,"OFFSHORE",1,20,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Lethrinus genivittatus",29.877,"INSHORE",1,70,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_0","ABORE_vs_MBERE"
"Acanthurus nigricauda",1.667,"OFFSHORE",1,3.33333333333333,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Atule mate",2.933,"INSHORE",1,20,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Halichoeres trimaculatus",20.73,"OFFSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_0","MBERE_vs_ABORE"
"Acanthurus nigricauda",0,"OFFSHORE",1,3.33333333333333,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Epinephelus areolatus",8.296,"INSHORE",1,6.66666666666667,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Nemipterus peronii",29.767,"INSHORE",1,60,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_0","MBERE_vs_ABORE"
"Acanthurus blochii",4.487,"OFFSHORE",1,10,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Atule mate",5.196,"INSHORE",1,36.6666666666667,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Halichoeres trimaculatus",16.797,"OFFSHORE",1,33.3333333333333,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","ABORE_vs_MBERE"
"Chaetodon auriga",7.978,"OFFSHORE",1,20,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Lethrinus genivittatus",27.716,"INSHORE",1,70,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_10","ABORE_vs_MBERE"
"Atule mate",1.316,"INSHORE",1,20,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Lethrinus rubrioperculatus",8.577,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",10.764,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_terinter","pres/abs","prev_10","MBERE_vs_ABORE"
"Abalistes stellatus",0.024,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Lethrinus variegatus",19.621,"OFFSHORE",1,30,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
"Parupeneus barberinoides",12.043,"OFFSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","BestModel_terinter","maxN","prev_10","MBERE_vs_ABORE"
