"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","prev_rate","replica_comp","ratio","colour"
1,2.79647245856187,0.405401560474417,12.2725315161638,0.001,"BAR_BAY","pres/abs","allSpecies",106,"prev_0","ABORE_vs_MBERE",1,"blue"
1,3.93892994013502,0.671172995894075,36.7400297884345,0.001,"BAR_BAY","pres/abs","indvalSpecies",23,"prev_0","ABORE_vs_MBERE",1.656,"blue"
1,2.22491959273013,0.307125545743193,7.97873235102484,0.001,"BAR_LAG","pres/abs","allSpecies",113,"prev_0","ABORE_vs_MBERE",1,"blue"
1,3.71248100604235,0.612912595350861,28.5011255437655,0.001,"BAR_LAG","pres/abs","indvalSpecies",22,"prev_0","ABORE_vs_MBERE",1.996,"blue"
1,0.682216450174,0.14189577840963,2.97647295877375,0.001,"BAY_LAG","pres/abs","allSpecies",35,"prev_0","ABORE_vs_MBERE",1,"blue"
NA,NA,NA,NA,NA,"BAY_LAG","pres/abs","indvalSpecies",2,"prev_0","ABORE_vs_MBERE",NA,NA
1,3.12018921747,0.299278111202192,11.9587917084168,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",116,"prev_0","ABORE_vs_MBERE",1,"blue"
1,4.40905105204938,0.502416705588641,28.2719856443814,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",36,"prev_0","ABORE_vs_MBERE",1.679,"blue"
1,2.51832868750441,0.3484565184325,9.62670567541422,0.001,"BAR_BAY","maxN","allSpecies",106,"prev_0","ABORE_vs_MBERE",1,"blue"
1,3.16530351860065,0.468750788580181,15.882403235749,0.001,"BAR_BAY","maxN","indvalSpecies",23,"prev_0","ABORE_vs_MBERE",1.345,"blue"
1,2.11351666223651,0.282173875619762,7.07571038256788,0.001,"BAR_LAG","maxN","allSpecies",113,"prev_0","ABORE_vs_MBERE",1,"blue"
1,2.80266782454381,0.395204392889436,11.7621209353615,0.001,"BAR_LAG","maxN","indvalSpecies",22,"prev_0","ABORE_vs_MBERE",1.401,"blue"
1,0.780413916661719,0.143318777593105,3.01131614561128,0.001,"BAY_LAG","maxN","allSpecies",35,"prev_0","ABORE_vs_MBERE",1,"blue"
1,0.888700164267117,0.228762731398216,5.33912108868018,0.003,"BAY_LAG","maxN","indvalSpecies",4,"prev_0","ABORE_vs_MBERE",1.596,"red"
1,2.82775892760671,0.25745980256614,9.70839625486273,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",116,"prev_0","ABORE_vs_MBERE",1,"blue"
1,3.56463499626319,0.348943914177302,15.0070474874959,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",36,"prev_0","ABORE_vs_MBERE",1.355,"blue"
1,2.79647245856187,0.405401560474417,12.2725315161638,0.001,"BAR_BAY","pres/abs","allSpecies",106,"prev_0","ABORE_vs_MBERE",1,"blue"
NA,NA,NA,NA,NA,"BAR_BAY","pres/abs","bininterSpecies",2,"prev_0","ABORE_vs_MBERE",NA,NA
1,2.22491959273013,0.307125545743193,7.97873235102484,0.001,"BAR_LAG","pres/abs","allSpecies",113,"prev_0","ABORE_vs_MBERE",1,"blue"
1,0.420138888888889,0.11,0.98876404494382,0.392,"BAR_LAG","pres/abs","bininterSpecies",7,"prev_0","ABORE_vs_MBERE",0.306,"red"
1,0.682216450174,0.14189577840963,2.97647295877375,0.001,"BAY_LAG","pres/abs","allSpecies",35,"prev_0","ABORE_vs_MBERE",1,"blue"
1,0.892361111111111,0.218351741716228,3.91086956521739,0.01,"BAY_LAG","pres/abs","bininterSpecies",5,"prev_0","ABORE_vs_MBERE",1.351,"red"
1,3.12018921747,0.299278111202192,11.9587917084168,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",116,"prev_0","ABORE_vs_MBERE",1,"blue"
1,2.20624774531025,0.284758315630184,7.96257605933799,0.001,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",11,"prev_0","ABORE_vs_MBERE",0.772,"blue"
1,2.51832868750441,0.3484565184325,9.62670567541422,0.001,"BAR_BAY","maxN","allSpecies",106,"prev_0","ABORE_vs_MBERE",1,"blue"
1,2.08216120139605,0.278867962559264,6.57404624586119,0.001,"BAR_BAY","maxN","bininterSpecies",17,"prev_0","ABORE_vs_MBERE",0.742,"blue"
1,2.11351666223651,0.282173875619762,7.07571038256788,0.001,"BAR_LAG","maxN","allSpecies",113,"prev_0","ABORE_vs_MBERE",1,"blue"
1,0.270956160241875,0.164693045425831,0.788658801529027,1,"BAR_LAG","maxN","bininterSpecies",2,"prev_0","ABORE_vs_MBERE",0.562,"red"
1,0.780413916661719,0.143318777593105,3.01131614561128,0.001,"BAY_LAG","maxN","allSpecies",35,"prev_0","ABORE_vs_MBERE",1,"blue"
1,0.722336653121524,0.145126680630455,3.05575129339011,0.001,"BAY_LAG","maxN","bininterSpecies",23,"prev_0","ABORE_vs_MBERE",0.958,"blue"
1,2.82775892760671,0.25745980256614,9.70839625486273,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",116,"prev_0","ABORE_vs_MBERE",1,"blue"
1,2.02292448274213,0.17480058551872,5.50753568619967,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",22,"prev_0","ABORE_vs_MBERE",0.582,"blue"
1,2.79647245856187,0.405401560474417,12.2725315161638,0.001,"BAR_BAY","pres/abs","allSpecies",106,"prev_0","ABORE_vs_MBERE",0.84,"blue"
1,2.11829513933635,0.26966876511527,6.64635105308208,0.001,"BAR_BAY","pres/abs","terinterSpecies",39,"prev_0","ABORE_vs_MBERE",0.559,"blue"
1,2.22491959273013,0.307125545743193,7.97873235102484,0.001,"BAR_LAG","pres/abs","allSpecies",113,"prev_0","ABORE_vs_MBERE",0.856,"blue"
1,1.58976999532848,0.191337564318709,4.25897878493039,0.001,"BAR_LAG","pres/abs","terinterSpecies",45,"prev_0","ABORE_vs_MBERE",0.533,"blue"
1,0.682216450174,0.14189577840963,2.97647295877375,0.001,"BAY_LAG","pres/abs","allSpecies",35,"prev_0","ABORE_vs_MBERE",0.878,"blue"
1,0.56769033446712,0.125336083657872,2.57933300287105,0.015,"BAY_LAG","pres/abs","terinterSpecies",18,"prev_0","ABORE_vs_MBERE",0.775,"red"
1,3.12018921747,0.299278111202192,11.9587917084168,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",116,"prev_0","ABORE_vs_MBERE",0.811,"blue"
1,2.1160630441531,0.189590422982857,6.08254287381159,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",28,"prev_0","ABORE_vs_MBERE",0.514,"blue"
1,2.51832868750441,0.3484565184325,9.62670567541422,0.001,"BAR_BAY","maxN","allSpecies",106,"prev_0","ABORE_vs_MBERE",0.927,"blue"
1,1.83900991283183,0.225938163274914,5.25395613889802,0.001,"BAR_BAY","maxN","terinterSpecies",40,"prev_0","ABORE_vs_MBERE",0.601,"blue"
1,2.11351666223651,0.282173875619762,7.07571038256788,0.001,"BAR_LAG","maxN","allSpecies",113,"prev_0","ABORE_vs_MBERE",0.963,"blue"
1,1.43689991245596,0.169154428513383,3.66467586484566,0.001,"BAR_LAG","maxN","terinterSpecies",47,"prev_0","ABORE_vs_MBERE",0.578,"blue"
1,0.780413916661719,0.143318777593105,3.01131614561128,0.001,"BAY_LAG","maxN","allSpecies",35,"prev_0","ABORE_vs_MBERE",0.946,"blue"
1,0.906499206418452,0.1626401657884,3.4961349524814,0.001,"BAY_LAG","maxN","terinterSpecies",19,"prev_0","ABORE_vs_MBERE",1.074,"blue"
1,2.82775892760671,0.25745980256614,9.70839625486273,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",116,"prev_0","ABORE_vs_MBERE",0.858,"blue"
1,1.97527250121208,0.154600970493096,5.12045439220764,0.001,"INSHORE_OFFSHORE","maxN","terinterSpecies",48,"prev_0","ABORE_vs_MBERE",0.515,"blue"
1,3.13971320737566,0.482516368271211,16.7837088873059,0.001,"BAR_BAY","pres/abs","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.799,"blue"
1,3.93892994013502,0.671172995894075,36.7400297884345,0.001,"BAR_BAY","pres/abs","indvalSpecies",23,"prev_10","ABORE_vs_MBERE",2.502,"blue"
1,2.47858174758881,0.358892960268298,10.0764347986771,0.001,"BAR_LAG","pres/abs","allSpecies",62,"prev_10","ABORE_vs_MBERE",1.433,"blue"
1,3.71248100604235,0.612912595350861,28.5011255437655,0.001,"BAR_LAG","pres/abs","indvalSpecies",22,"prev_10","ABORE_vs_MBERE",2.448,"blue"
1,0.685979655714317,0.161667633782563,3.47119773177332,0.001,"BAY_LAG","pres/abs","allSpecies",19,"prev_10","ABORE_vs_MBERE",1.199,"blue"
NA,NA,NA,NA,NA,"BAY_LAG","pres/abs","indvalSpecies",2,"prev_10","ABORE_vs_MBERE",NA,NA
1,3.63524308142349,0.369064765298193,16.3785644864696,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.874,"blue"
1,4.40905105204938,0.502416705588641,28.2719856443814,0.001,"INSHORE_OFFSHORE","pres/abs","indvalSpecies",36,"prev_10","ABORE_vs_MBERE",2.551,"blue"
1,2.64839433820867,0.375938636775403,10.8433174375544,0.001,"BAR_BAY","maxN","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.205,"blue"
1,3.16530351860065,0.468750788580181,15.882403235749,0.001,"BAR_BAY","maxN","indvalSpecies",23,"prev_10","ABORE_vs_MBERE",1.503,"blue"
1,2.16894616528853,0.292894643112282,7.45589539757685,0.001,"BAR_LAG","maxN","allSpecies",62,"prev_10","ABORE_vs_MBERE",1.047,"blue"
1,2.80266782454381,0.395204392889436,11.7621209353615,0.001,"BAR_LAG","maxN","indvalSpecies",22,"prev_10","ABORE_vs_MBERE",1.413,"blue"
1,0.778869600715746,0.151487528764085,3.21359509752614,0.001,"BAY_LAG","maxN","allSpecies",19,"prev_10","ABORE_vs_MBERE",1.029,"blue"
1,0.888700164267117,0.228762731398216,5.33912108868018,0.003,"BAY_LAG","maxN","indvalSpecies",4,"prev_10","ABORE_vs_MBERE",1.554,"red"
1,3.18198046850925,0.300156731262462,12.0089580778704,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.333,"blue"
1,3.56463499626319,0.348943914177302,15.0070474874959,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",36,"prev_10","ABORE_vs_MBERE",1.549,"blue"
1,3.13971320737566,0.482516368271211,16.7837088873059,0.001,"BAR_BAY","pres/abs","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.799,"blue"
1,2.760348583878,0.468283668283668,13.2105308888696,0.001,"BAR_BAY","pres/abs","bininterSpecies",7,"prev_10","ABORE_vs_MBERE",1.45,"blue"
1,2.47858174758881,0.358892960268298,10.0764347986771,0.001,"BAR_LAG","pres/abs","allSpecies",62,"prev_10","ABORE_vs_MBERE",1.433,"blue"
1,1.14867424242424,0.276183970856102,3.43409877319912,0.019,"BAR_LAG","pres/abs","bininterSpecies",5,"prev_10","ABORE_vs_MBERE",0.922,"red"
1,0.685979655714317,0.161667633782563,3.47119773177332,0.001,"BAY_LAG","pres/abs","allSpecies",19,"prev_10","ABORE_vs_MBERE",1.199,"blue"
1,0.711454353476283,0.122026604657487,2.36277350792389,0.029,"BAY_LAG","pres/abs","bininterSpecies",8,"prev_10","ABORE_vs_MBERE",0.779,"red"
1,3.63524308142349,0.369064765298193,16.3785644864696,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.874,"blue"
1,2.79793940145503,0.326179882547245,10.6496633599583,0.001,"INSHORE_OFFSHORE","pres/abs","bininterSpecies",11,"prev_10","ABORE_vs_MBERE",1.286,"blue"
1,2.64839433820867,0.375938636775403,10.8433174375544,0.001,"BAR_BAY","maxN","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.205,"blue"
1,2.37117216680136,0.352374106207735,8.70562118248506,0.001,"BAR_BAY","maxN","bininterSpecies",8,"prev_10","ABORE_vs_MBERE",0.99,"blue"
1,2.16894616528853,0.292894643112282,7.45589539757685,0.001,"BAR_LAG","maxN","allSpecies",62,"prev_10","ABORE_vs_MBERE",1.047,"blue"
1,1.35329640797009,0.169311158018861,3.46494323850085,0.001,"BAR_LAG","maxN","bininterSpecies",19,"prev_10","ABORE_vs_MBERE",0.572,"blue"
1,0.778869600715746,0.151487528764085,3.21359509752614,0.001,"BAY_LAG","maxN","allSpecies",19,"prev_10","ABORE_vs_MBERE",1.029,"blue"
1,0.77596320443027,0.114139025978205,2.19037015799474,0.025,"BAY_LAG","maxN","bininterSpecies",7,"prev_10","ABORE_vs_MBERE",0.675,"red"
1,3.18198046850925,0.300156731262462,12.0089580778704,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.333,"blue"
1,2.99679203156598,0.28452197812417,11.1346752016086,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",28,"prev_10","ABORE_vs_MBERE",1.146,"blue"
1,3.13971320737566,0.482516368271211,16.7837088873059,0.001,"BAR_BAY","pres/abs","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.494,"blue"
1,3.06762334617212,0.482383557798412,16.7747840533045,0.001,"BAR_BAY","pres/abs","terinterSpecies",30,"prev_10","ABORE_vs_MBERE",1.494,"blue"
1,2.47858174758881,0.358892960268298,10.0764347986771,0.001,"BAR_LAG","pres/abs","allSpecies",62,"prev_10","ABORE_vs_MBERE",1.198,"blue"
1,2.60297880225257,0.376123207203291,10.851850570222,0.001,"BAR_LAG","pres/abs","terinterSpecies",34,"prev_10","ABORE_vs_MBERE",1.256,"blue"
1,0.685979655714317,0.161667633782563,3.47119773177332,0.001,"BAY_LAG","pres/abs","allSpecies",19,"prev_10","ABORE_vs_MBERE",1.032,"blue"
1,0.505268778344671,0.131858052236393,2.73393647936174,0.026,"BAY_LAG","pres/abs","terinterSpecies",9,"prev_10","ABORE_vs_MBERE",0.842,"red"
1,3.63524308142349,0.369064765298193,16.3785644864696,0.001,"INSHORE_OFFSHORE","pres/abs","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.455,"blue"
1,3.76244949862614,0.400345289069928,18.693537947149,0.001,"INSHORE_OFFSHORE","pres/abs","terinterSpecies",28,"prev_10","ABORE_vs_MBERE",1.578,"blue"
1,2.64839433820867,0.375938636775403,10.8433174375544,0.001,"BAR_BAY","maxN","allSpecies",54,"prev_10","ABORE_vs_MBERE",1.056,"blue"
1,2.37780978559983,0.336350760176258,9.12276142255597,0.001,"BAR_BAY","maxN","terinterSpecies",29,"prev_10","ABORE_vs_MBERE",0.945,"blue"
1,2.16894616528853,0.292894643112282,7.45589539757685,0.001,"BAR_LAG","maxN","allSpecies",62,"prev_10","ABORE_vs_MBERE",0.989,"blue"
1,2.42114994663047,0.330916811943618,8.90248435667342,0.001,"BAR_LAG","maxN","terinterSpecies",37,"prev_10","ABORE_vs_MBERE",1.118,"blue"
1,0.778869600715746,0.151487528764085,3.21359509752614,0.001,"BAY_LAG","maxN","allSpecies",19,"prev_10","ABORE_vs_MBERE",0.896,"blue"
1,0.783845609440624,0.160135970742545,3.43204063152253,0.001,"BAY_LAG","maxN","terinterSpecies",12,"prev_10","ABORE_vs_MBERE",0.947,"blue"
1,3.18198046850925,0.300156731262462,12.0089580778704,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",50,"prev_10","ABORE_vs_MBERE",1.209,"blue"
